Month,Credit
30-01-2016,6498328
29-02-2016,6577918
30-03-2016,6649972
30-04-2016,6645004
30-05-2016,6660337
30-06-2016,6647840
30-07-2016,6632115
30-08-2016,6648445
30-09-2016,6834696
30-10-2016,6720307
30-11-2016,6623122
30-12-2016,6678859
30-01-2017,6711313
28-02-2017,6775363
30-03-2017,7134533
30-04-2017,6898062
30-05-2017,6884798
30-06-2017,6927914
30-07-2017,6945157
30-08-2017,6965885
30-09-2017,7213278
30-10-2017,7121070
30-11-2017,7188678
30-12-2017,7305534
30-01-2018,7300905
28-02-2018,7373707
30-03-2018,7722257
30-04-2018,7612995
30-05-2018,7636505
30-06-2018,7694893
30-07-2018,7673413
30-08-2018,7819134
30-09-2018,8024958
30-10-2018,8057449
30-11-2018,8165200
30-12-2018,8241264
30-01-2019,8274989
28-02-2019,8368057
30-03-2019,8674893
30-04-2019,8524065
30-05-2019,8516737
30-06-2019,8547556
30-07-2019,8561546
30-08-2019,8594549
30-09-2019,8680215
30-10-2019,8733113
30-11-2019,8764914
30-12-2019,8822209
30-01-2020,8978800
29-02-2020,8980095
